"Kommun" "Folkmängd" "Andel arbetslösa" "Medellön" "Andel utbildade" "Kommunalskatt"
"253" "Örnsköldsvik" 55444 0.037 34800 0.138 0.34
"254" "Ragunda" 5140 0.042 33600 0.082 0.3492
"255" "Bräcke" 6019 0.046 34200 0.091 0.3509
"256" "Krokom" 15671 0.023 34100 0.154 0.3387
"257" "Strömsund" 11015 0.064 33900 0.082 0.3492
"258" "Åre" 12721 0.017 35000 0.163 0.3392
"259" "Berg" 7112 0.033 34300 0.096 0.3422
"260" "Härjedalen" 10188 0.025 34300 0.098 0.3417
"261" "Östersund" 65030 0.035 34400 0.178 0.3372
"262" "Nordmaling" 6938 0.038 34300 0.101 0.346
"263" "Bjurholm" 2350 0.048 33100 0.085 0.345
"264" "Vindeln" 5425 0.027 34000 0.105 0.347
"265" "Robertsfors" 6691 0.028 33900 0.115 0.345
"266" "Norsjö" 3945 0.034 31100 0.085 0.347
"267" "Malå" 2963 0.028 33300 0.087 0.347
"268" "Storuman" 5584 0.022 33000 0.096 0.3445
"269" "Sorsele" 2349 0.01 33500 0.096 0.3495
"270" "Dorotea" 2293 0.031 33000 0.075 0.3515
"271" "Vännäs" 9133 0.025 34800 0.138 0.347
"272" "Vilhelmina" 6245 0.038 32800 0.086 0.3475
"273" "Åsele" 2701 0.051 32000 0.088 0.3495
"274" "Umeå" 134279 0.029 34800 0.229 0.3415
"275" "Lycksele" 12104 0.04 32900 0.115 0.344
"276" "Skellefteå" 77948 0.023 35100 0.151 0.3395
"277" "Arvidsjaur" 6090 0.031 34500 0.097 0.3414
"278" "Arjeplog" 2614 0.02 34000 0.097 0.3484
"279" "Jokkmokk" 4701 0.023 34900 0.107 0.3429
"280" "Överkalix" 3200 0.04 33500 0.089 0.3414
"281" "Kalix" 15382 0.048 34400 0.105 0.3389
"282" "Övertorneå" 4044 0.033 35400 0.1 0.3309
"283" "Pajala" 5853 0.02 34600 0.078 0.3474
"284" "Gällivare" 17215 0.018 34800 0.101 0.3389
"285" "Älvsbyn" 7775 0.036 34300 0.09 0.3379
"286" "Luleå" 79634 0.034 35800 0.189 0.3384
"287" "Piteå" 42396 0.032 35700 0.133 0.3359
"288" "Boden" 28069 0.037 35700 0.142 0.3394
"289" "Haparanda" 9135 0.062 35500 0.089 0.3384
"290" "Kiruna" 22457 0.017 34800 0.112 0.3439
